Tiempo ,sensor Tubo,sensor que parece Reloj
02:50:00 p. m.,423,450
02:50:30 p. m.,424,450
02:51:00 p. m.,423,451
02:51:30 p. m.,428,451
02:52:00 p. m.,453,457
02:52:30 p. m.,489,468
02:53:00 p. m.,530,486
02:53:30 p. m.,567,509
02:54:00 p. m.,600,532
02:54:30 p. m.,628,554
02:55:00 p. m.,647,576
02:55:30 p. m.,666,603
02:56:00 p. m.,685,629
02:56:30 p. m.,701,647
02:57:00 p. m.,707,664
02:57:30 p. m.,712,676
02:58:00 p. m.,721,683
02:58:30 p. m.,720,694
02:59:00 p. m.,725,699
02:59:30 p. m.,731,707
03:00:00 p. m.,725,716
03:00:30 p. m.,730,729
03:01:00 p. m.,726,722
03:01:30 p. m.,729,723
03:02:00 p. m.,728,723
03:02:30 p. m.,732,724
03:03:00 p. m.,730,727
03:03:30 p. m.,729,727
03:04:00 p. m.,732,729
03:04:30 p. m.,732,729
03:05:00 p. m.,733,729
03:05:30 p. m.,734,731
03:06:00 p. m.,731,733
03:06:30 p. m.,733,735
03:07:00 p. m.,737,735
03:07:30 p. m.,734,739
03:08:00 p. m.,737,740
03:08:30 p. m.,738,744
03:09:00 p. m.,737,743
03:09:30 p. m.,739,737
03:10:00 p. m.,736,731
03:10:30 p. m.,741,731
03:11:00 p. m.,741,731
03:11:30 p. m.,739,734
03:12:00 p. m.,741,736
03:12:30 p. m.,740,739
03:13:00 p. m.,739,743
03:13:30 p. m.,742,744
03:14:00 p. m.,741,743
03:14:30 p. m.,738,741
03:15:00 p. m.,740,744
03:15:30 p. m.,739,749
03:16:00 p. m.,740,750
03:16:30 p. m.,742,747
03:17:00 p. m.,743,749
03:17:30 p. m.,745,746
03:18:00 p. m.,742,745
03:18:30 p. m.,743,744
03:19:00 p. m.,741,737
03:19:30 p. m.,745,738
03:20:00 p. m.,741,742
03:20:30 p. m.,742,744
03:21:00 p. m.,743,746
03:21:30 p. m.,744,748
03:22:00 p. m.,748,750
03:22:30 p. m.,746,753
03:23:00 p. m.,746,756
03:23:30 p. m.,745,756
03:24:00 p. m.,746,756
03:24:30 p. m.,747,750
03:25:00 p. m.,750,748
03:25:30 p. m.,747,749
03:26:00 p. m.,747,752
03:26:30 p. m.,748,754
03:27:00 p. m.,748,749
03:27:30 p. m.,749,749
03:28:00 p. m.,750,750
03:28:30 p. m.,749,756
03:29:00 p. m.,753,763
03:29:30 p. m.,751,765
03:30:00 p. m.,750,768
03:30:30 p. m.,751,763
03:31:00 p. m.,750,763
03:31:30 p. m.,751,764
03:32:00 p. m.,752,770
03:32:30 p. m.,748,771
03:33:00 p. m.,754,771
03:33:30 p. m.,749,768
03:34:00 p. m.,756,764
03:34:30 p. m.,751,763
03:35:00 p. m.,753,765
03:35:30 p. m.,752,769
03:36:00 p. m.,754,774
03:36:30 p. m.,754,774
03:37:00 p. m.,756,779
03:37:30 p. m.,753,778
03:38:00 p. m.,755,778
03:38:30 p. m.,758,776
03:39:00 p. m.,756,775
03:39:30 p. m.,757,774
03:40:00 p. m.,755,771
03:40:30 p. m.,751,760
03:41:00 p. m.,695,765
03:41:30 p. m.,625,749
03:42:00 p. m.,568,723
03:42:30 p. m.,531,694
03:43:00 p. m.,498,656
03:43:30 p. m.,481,632
03:44:00 p. m.,468,607
03:44:30 p. m.,459,591
03:45:00 p. m.,448,576
03:45:30 p. m.,444,559
03:46:00 p. m.,441,546
03:46:30 p. m.,440,533
03:47:00 p. m.,436,525
03:47:30 p. m.,439,513
03:48:00 p. m.,440,508
03:48:30 p. m.,441,502
03:49:00 p. m.,448,502
03:49:30 p. m.,454,502
03:50:00 p. m.,467,506
