FLUKE 975,   1F ,2223004,,,,,,,,,,,
,,,,,,,,,,,,,
Hora de inicio,Hora de terminación,Tiempo transcurrido,Intervalo,Cantidad total de lecturas,Nombre de la sesión,,,,,,,,
10/06/2021 14:10,10/06/2021 15:10,01:00:00,00:01:00,61,Sesión registrada  3,,,,,,,,
,Tiempo máx.,Máx,,Promedio,,Mín,,Tiempo mín.,Cambio de escala,,,,
Temperatura,10/06/2021 15:09,28.3,°C,27.98688525,°C,27.5,°C,10/06/2021 14:10,(ninguna),,,,
Bulbo húmedo,10/06/2021 14:32,20.5,°C,20.22295082,°C,19.9,°C,10/06/2021 15:01,(ninguna),,,,
Punto de condensación,10/06/2021 14:14,17.5,°C,17.07377049,°C,16.4,°C,10/06/2021 15:08,(ninguna),,,,
% HR,10/06/2021 14:10,53.97,%,51.74737705,%,49.08,%,10/06/2021 15:08,(ninguna),,,,
CO,10/06/2021 14:10,1,ppm,0.983606557,ppm,0,ppm,10/06/2021 14:33,(ninguna),,,,
CO2,10/06/2021 14:15,488,ppm,454.6065574,ppm,416,ppm,10/06/2021 15:08,(ninguna),,,,
,,,,,,,,,,,,,
Lectura,Temperatura,,Bulbo húmedo,,Punto de condensación,,% HR,,CO,,CO2,,Sello de tiempo
1,27.5,°C,20.2,°C,17.3,°C,53.97,%,1,ppm,472,ppm,10/06/2021 14:10
2,27.6,°C,20.2,°C,17.2,°C,53.71,%,1,ppm,472,ppm,10/06/2021 14:11
3,27.6,°C,20.3,°C,17.3,°C,53.55,%,1,ppm,471,ppm,10/06/2021 14:12
4,27.7,°C,20.3,°C,17.4,°C,53.84,%,1,ppm,470,ppm,10/06/2021 14:13
5,27.7,°C,20.4,°C,17.5,°C,53.87,%,1,ppm,482,ppm,10/06/2021 14:14
6,27.7,°C,20.3,°C,17.4,°C,53.81,%,1,ppm,488,ppm,10/06/2021 14:15
7,27.7,°C,20.3,°C,17.4,°C,53.68,%,1,ppm,475,ppm,10/06/2021 14:16
8,27.7,°C,20.3,°C,17.3,°C,53.46,%,1,ppm,487,ppm,10/06/2021 14:17
9,27.7,°C,20.3,°C,17.4,°C,53.55,%,1,ppm,478,ppm,10/06/2021 14:18
10,27.8,°C,20.4,°C,17.4,°C,53.3,%,1,ppm,483,ppm,10/06/2021 14:19
11,27.8,°C,20.4,°C,17.4,°C,53.4,%,1,ppm,467,ppm,10/06/2021 14:20
12,27.7,°C,20.3,°C,17.3,°C,53.4,%,1,ppm,466,ppm,10/06/2021 14:21
13,27.8,°C,20.3,°C,17.3,°C,53.01,%,1,ppm,474,ppm,10/06/2021 14:22
14,27.8,°C,20.3,°C,17.2,°C,52.76,%,1,ppm,467,ppm,10/06/2021 14:23
15,27.8,°C,20.3,°C,17.3,°C,52.95,%,1,ppm,463,ppm,10/06/2021 14:24
16,27.8,°C,20.4,°C,17.4,°C,53.4,%,1,ppm,474,ppm,10/06/2021 14:25
17,27.8,°C,20.3,°C,17.2,°C,52.82,%,1,ppm,472,ppm,10/06/2021 14:26
18,27.9,°C,20.4,°C,17.4,°C,53.08,%,1,ppm,476,ppm,10/06/2021 14:27
19,27.9,°C,20.3,°C,17.3,°C,52.76,%,1,ppm,466,ppm,10/06/2021 14:28
20,27.9,°C,20.3,°C,17.3,°C,52.89,%,1,ppm,454,ppm,10/06/2021 14:29
21,27.9,°C,20.4,°C,17.4,°C,52.92,%,1,ppm,471,ppm,10/06/2021 14:30
22,27.9,°C,20.3,°C,17.2,°C,52.47,%,1,ppm,474,ppm,10/06/2021 14:31
23,28,°C,20.5,°C,17.5,°C,52.89,%,1,ppm,469,ppm,10/06/2021 14:32
24,28,°C,20.4,°C,17.4,°C,52.7,%,0,ppm,459,ppm,10/06/2021 14:33
25,27.9,°C,20.2,°C,17.1,°C,52.22,%,1,ppm,462,ppm,10/06/2021 14:34
26,27.9,°C,20.3,°C,17.2,°C,52.31,%,1,ppm,457,ppm,10/06/2021 14:35
27,28,°C,20.3,°C,17.2,°C,52.16,%,1,ppm,456,ppm,10/06/2021 14:36
28,28,°C,20.4,°C,17.3,°C,52.38,%,1,ppm,457,ppm,10/06/2021 14:37
29,28,°C,20.4,°C,17.3,°C,52.28,%,1,ppm,464,ppm,10/06/2021 14:38
30,28,°C,20.2,°C,17.1,°C,51.8,%,1,ppm,453,ppm,10/06/2021 14:39
31,28,°C,20.3,°C,17.2,°C,51.93,%,1,ppm,453,ppm,10/06/2021 14:40
32,28,°C,20.3,°C,17.2,°C,51.87,%,1,ppm,475,ppm,10/06/2021 14:41
33,28,°C,20.2,°C,17.1,°C,51.8,%,1,ppm,452,ppm,10/06/2021 14:42
34,28.1,°C,20.3,°C,17.2,°C,51.74,%,1,ppm,452,ppm,10/06/2021 14:43
35,28.1,°C,20.3,°C,17.1,°C,51.38,%,1,ppm,453,ppm,10/06/2021 14:44
36,28.1,°C,20.3,°C,17.1,°C,51.67,%,1,ppm,444,ppm,10/06/2021 14:45
37,28.1,°C,20.3,°C,17.2,°C,51.64,%,1,ppm,451,ppm,10/06/2021 14:46
38,28.1,°C,20.3,°C,17.2,°C,51.93,%,1,ppm,443,ppm,10/06/2021 14:47
39,28.1,°C,20.3,°C,17.1,°C,51.42,%,1,ppm,445,ppm,10/06/2021 14:48
40,28.1,°C,20.2,°C,17,°C,51.29,%,1,ppm,443,ppm,10/06/2021 14:49
41,28.1,°C,20.3,°C,17.1,°C,51.22,%,1,ppm,437,ppm,10/06/2021 14:50
42,28.1,°C,20.2,°C,17,°C,51.25,%,1,ppm,439,ppm,10/06/2021 14:51
43,28.2,°C,20.3,°C,17.1,°C,51,%,1,ppm,451,ppm,10/06/2021 14:52
44,28.2,°C,20.2,°C,16.9,°C,50.54,%,1,ppm,454,ppm,10/06/2021 14:53
45,28.2,°C,20.2,°C,17,°C,50.64,%,1,ppm,456,ppm,10/06/2021 14:54
46,28.1,°C,20,°C,16.7,°C,50.12,%,1,ppm,434,ppm,10/06/2021 14:55
47,28.1,°C,20,°C,16.7,°C,50.38,%,1,ppm,443,ppm,10/06/2021 14:56
48,28.2,°C,20.1,°C,16.8,°C,50.22,%,1,ppm,437,ppm,10/06/2021 14:57
49,28.2,°C,20,°C,16.6,°C,49.5,%,1,ppm,443,ppm,10/06/2021 14:58
50,28.2,°C,20.1,°C,16.7,°C,49.86,%,1,ppm,432,ppm,10/06/2021 14:59
51,28.2,°C,20.1,°C,16.7,°C,50.12,%,1,ppm,437,ppm,10/06/2021 15:00
52,28.2,°C,19.9,°C,16.5,°C,49.31,%,1,ppm,442,ppm,10/06/2021 15:01
53,28.2,°C,19.9,°C,16.5,°C,49.37,%,1,ppm,429,ppm,10/06/2021 15:02
54,28.2,°C,20,°C,16.6,°C,49.67,%,1,ppm,431,ppm,10/06/2021 15:03
55,28.2,°C,19.9,°C,16.5,°C,49.11,%,1,ppm,418,ppm,10/06/2021 15:04
56,28.2,°C,20,°C,16.6,°C,49.6,%,1,ppm,423,ppm,10/06/2021 15:05
57,28.2,°C,19.9,°C,16.5,°C,49.28,%,1,ppm,424,ppm,10/06/2021 15:06
58,28.2,°C,20.1,°C,16.7,°C,49.89,%,1,ppm,421,ppm,10/06/2021 15:07
59,28.2,°C,19.9,°C,16.4,°C,49.08,%,1,ppm,416,ppm,10/06/2021 15:08
60,28.3,°C,20,°C,16.5,°C,49.11,%,1,ppm,431,ppm,10/06/2021 15:09
61,28.3,°C,20,°C,16.6,°C,49.31,%,1,ppm,443,ppm,10/06/2021 15:10
